,SOFR_VOL_1Y_2Y,SOFR_VOL_1Y_5Y,SOFR_VOL_1Y_10Y,SOFR_VOL_2Y_2Y,SOFR_VOL_2Y_5Y,SOFR_VOL_2Y_10Y,SOFR_VOL_5Y_2Y,SOFR_VOL_5Y_5Y,SOFR_VOL_5Y_10Y
2005-01-03,0.19573644217389918,0.21050236649118817,0.20649729227494865,0.21138865702920726,0.21486471126076986,0.22070313308982697,0.2029932096383295,0.20916211456980147,0.20058546844994843
2005-01-04,0.20724402266192044,0.1923790559331663,0.19377549868662602,0.20875569641576558,0.2413220435907899,0.22593453198000463,0.20586060271270237,0.19719690008531904,0.2018784162928576
2005-01-05,0.2245205994550241,0.18386699162429937,0.1880352201268006,0.19647673006983662,0.24130567343689285,0.23472739808288262,0.20718497819877252,0.19723089262511925,0.21244505323802174
2005-01-06,0.22546824234149498,0.17611305966590599,0.19392215640382474,0.21347939736046886,0.2341603308837826,0.23041426629826672,0.20674247977074162,0.21486425475089388,0.19996835221859868
2005-01-07,0.22004731654139192,0.17358342709325703,0.18772482898657877,0.22423671213666646,0.24540049870205616,0.2184597658160628,0.20625909567406134,0.20710402596262517,0.1999388648284662
2005-01-10,0.21996629098765172,0.15410264589486372,0.1691361122552112,0.21593943228447263,0.232342702843112,0.2141673845010788,0.19450712278809948,0.20431462479323348,0.18942542917453442
2005-01-11,0.21910153942704658,0.14854055287535875,0.18006772482572292,0.2274085263812986,0.23405771301034825,0.22324976586194595,0.19083054172158895,0.22376259861998607,0.1891706817285389
2005-01-12,0.2451859081162586,0.1373367219884616,0.18320258907510076,0.21563020463750973,0.23523293439272414,0.23307957078034625,0.193418872154471,0.22139891190851801,0.18182162721923545
2005-01-13,0.24212444775491698,0.14024842738512008,0.1871347374340335,0.21320142711137285,0.21609636549589212,0.233166303992546,0.21671429628488842,0.2120037469083871,0.18964493454404693
2005-01-14,0.2323829456969237,0.13206656125769758,0.1811472012296269,0.2003773709891329,0.21437522846890894,0.23478312611108126,0.20373433322817885,0.20981202099984644,0.1921614428024847
2005-01-17,0.22126753519881714,0.1273474617373545,0.1728503166333719,0.1970664367575101,0.22103406813324833,0.2294736225647792,0.18447163815250636,0.2163172414020151,0.18023386873886668
2005-01-18,0.20796528689733917,0.13200994024473522,0.1696229363295352,0.19614667877627884,0.21435116047845754,0.2240636430939919,0.1914031887518639,0.21684694956442957,0.18561349616268882
2005-01-19,0.18423740114201986,0.14265938374922887,0.1754181267885653,0.20598417230910204,0.21014376055990902,0.23618128894897564,0.19709591387815073,0.20910024149502845,0.18188273761794005
2005-01-20,0.17826778824039627,0.14386537590788054,0.17194879204441194,0.2087619496119423,0.2203265437682287,0.22756796546905117,0.2073517470538086,0.21659124206267816,0.16809163806506228
2005-01-21,0.17283590126030268,0.13867944312153524,0.19221263368570493,0.19926437026574376,0.22479748666397545,0.2115278587940425,0.2062280503247403,0.18972655853939188,0.15652822155966484
2005-01-24,0.1666860982919053,0.13441000150451984,0.1825730740839118,0.20351237357857752,0.20195340593486052,0.19957536940589246,0.2162445792086739,0.17302483802951646,0.17010065034335195
2005-01-25,0.15952425115041033,0.1353820075253769,0.18080434530321346,0.19732274267990074,0.20265909697112844,0.19431063153297637,0.22588324075950209,0.16405414350146713,0.1592202841812049
2005-01-26,0.14930545033752118,0.14326021260737315,0.20999387904873057,0.20001408097195447,0.193870906911808,0.18766974165462252,0.22725019410383665,0.16570626403722813,0.16607419627108713
2005-01-27,0.15672752806786067,0.15070525314907085,0.2202705313733602,0.20332029607797866,0.18451794324247286,0.1769696406512555,0.23408227293754091,0.17367767646583634,0.18515344244307796
2005-01-28,0.1556852787258173,0.14612741368240034,0.23020685029723525,0.20672304119791302,0.1783639357012185,0.15695522214063162,0.23352297032132055,0.18726871645286164,0.1803658722551298
2005-01-31,0.1658032349672548,0.14848945689567974,0.23444247427264828,0.20366886163651582,0.18600835845174976,0.1672578288062911,0.2347867059704808,0.20332960379583867,0.1891331014144604
2005-02-01,0.16358654883921908,0.15166312868061635,0.21944151773934703,0.20181425003402262,0.17524683913515013,0.1650952572855444,0.2320689213693561,0.19450057737275891,0.18612208016116244
2005-02-02,0.16250094653887465,0.14757488447578357,0.19770118722597255,0.19865127574335098,0.1715312154947737,0.169257958161504,0.23067606364482887,0.1895277504116924,0.18623463605291388
2005-02-03,0.15988177028337358,0.14953008881923435,0.20362013386108999,0.19053844859814978,0.17523310659304317,0.1790127584993768,0.2367287958249472,0.1849178218453783,0.19607857258697745
2005-02-04,0.1767989534228747,0.15324848937522306,0.22092917160945266,0.1612565373148421,0.1694355090136736,0.1691417486604187,0.23149350062336116,0.1792638566592514,0.20533705663432272
2005-02-07,0.1606849743179064,0.1688719363980427,0.2265162049767258,0.1710059607637561,0.18199707725190628,0.16412350458620611,0.21935433989141737,0.1790886090983753,0.20020450232159231
